Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s]
MH30_7_DOE,2300,0.0761999999999999,1,0.008,0.004,10,4,1.3064,1.1331363551632394,0.9127990167263713,13.035333633422852
MH30_7_DOE,2300,0.0761999999999999,1,0.008,0.004,6,1,1.3064,2.063994769410381,0.37932194894370136,13.16418194770813
MH30_7_DOE,2300,0.0761999999999999,1,0.018,0.009,10,4,1.3064,0.6306563358929502,1.2243263902353536,12.99218487739563
MH30_7_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1,1.3064,1.095251075705953,0.47404678675576734,12.856972694396973
MH30_7_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4,1.5764,2.1835870499589536,0.7754360995793411,12.87202787399292
MH30_7_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1,1.5764,4.045428081630757,0.3186156624477981,13.000994682312012
MH30_7_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4,1.5764,1.178180227577919,1.0618120318143156,13.022563457489014
MH30_7_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1,1.5764,2.1078036603140555,0.4030633459729047,12.994065523147583
MH30_7_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.47699149876781216,1.9576201040642067,17.2008957862854
MH30_7_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.7727483327051716,0.9157206295798531,17.17031240463257
MH30_7_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.28984348498239443,2.546051256099988,19.557511568069458
MH30_7_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.44830111660484373,1.026100061548199,17.37612509727478
MH30_7_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.8717075335627616,1.722865543579115,17.490437507629395
MH30_7_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.462591059976612,0.7872926233989099,17.231210947036743
MH30_7_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.49522263746187467,2.3435393736851053,17.198167324066162
MH30_7_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.8140502963792673,0.9069120608305443,17.189330339431763
MH30_7_DOE,3600,0.0761999999999999,1,0.008,0.004,10,4,1.2164,0.7104363243907166,1.0212970897706242,12.949834108352661
MH30_7_DOE,3600,0.0761999999999999,1,0.008,0.004,6,1,1.2164,1.2565189644540404,0.4328192723828225,12.691294431686401
MH30_7_DOE,3600,0.0761999999999999,1,0.018,0.009,10,4,1.2164,0.41541112647775136,1.3254984495484923,12.948869228363037
MH30_7_DOE,3600,0.0761999999999999,1,0.018,0.009,6,1,1.2164,0.6882182833904492,0.5296046418559555,12.834285259246826
MH30_7_DOE,3600,0.0761999999999999,2,0.008,0.004,10,4,1.3963999999999999,1.3380526837936642,0.925990702852083,13.412673950195312
MH30_7_DOE,3600,0.0761999999999999,2,0.008,0.004,6,1,1.3963999999999999,2.4304457335232,0.3855214721845529,13.463650941848755
MH30_7_DOE,3600,0.0761999999999999,2,0.018,0.009,10,4,1.3963999999999999,0.7483509890232213,1.2379819641674206,12.835517406463623
MH30_7_DOE,3600,0.0761999999999999,2,0.018,0.009,6,1,1.3963999999999999,1.293592368234887,0.48082922778582626,12.840670824050903
MH30_7_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.32610621328905265,2.0674501539563295,17.337315559387207
