Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight,Method,WeightedObjSum,Runtime [min],Beta,NBI_t
1.0,2300.0,4.0,0.0909530510888445,0.0077633262905334,0.0034589479553742,8.90041733556643,3.395350677042909,8.0,-1.5585934492558426,0.1987566106587697,2.826231163949189,1.3012433893412303,Lawnmower Search,,,,
1.0,2300.0,4.0,0.0868287706847387,0.0087926233126116,0.0041870021307531,9.176417353464672,4.125311955147857,8.0,-1.461744476801079,0.1625300144666739,2.66128444919823,1.337469985533326,Lawnmower Search,,,,
0.8888888888888888,2300.0,4.0,0.0868287706847387,0.0087926233126116,0.0041870021307531,9.176417353464672,4.125311955147857,8.0,-1.2905534636039488,0.1625300144666717,2.661284449198224,1.3374699855333283,Lawnmower Search,,,,
1.0,2300.0,4.0,0.0951616624767159,0.0076225904849806,0.0034729732337812,8.900167449967025,3.3865973300388017,8.0,-1.3462098819048125,0.0316646109218243,2.464513627730576,1.4683353890781756,Lawnmower Search,,,,
0.8888888888888888,2300.0,4.0,0.0951616624767159,0.0076225904849806,0.0034729732337812,8.900167449967025,3.3865973300388017,8.0,-1.1902824844058315,0.0316646109218043,2.4645136277305406,1.4683353890781956,Lawnmower Search,,,,
1.0,2300.0,4.0,0.0909537609213941,0.008806526910982,0.0034902457314234,9.145428461134111,4.191907352950336,8.0,-1.3411465334255366,0.0262626626571331,2.4558900700806903,1.4737373373428668,Lawnmower Search,,,,
0.7777777777777777,2300.0,4.0,0.0909537609213941,0.008806526910982,0.0034902457314234,9.145428461134111,4.191907352950336,8.0,-1.030183888970323,0.0258701515319481,2.454909254172484,1.4741298484680518,Lawnmower Search,,,,
0.8888888888888888,2300.0,4.0,0.0909537609213941,0.008806526910982,0.0034902457314234,9.145428461134111,4.191907352950336,8.0,-1.185377266654686,0.0258701515319481,2.454909254172484,1.4741298484680518,Lawnmower Search,,,,
0.6666666666666666,2300.0,4.0,0.0909537609213941,0.008806526910982,0.0034902457314234,9.145428461134111,4.191907352950336,8.0,-0.8749905112859542,0.025870151531939,2.454909254172468,1.474129848468061,Lawnmower Search,,,,
1.0,2300.0,4.0,0.0951626262525076,0.0065396922506181,0.0034927735351559,8.898552394645408,3.3865973300388017,10.0,-1.3326367705624544,0.0158901700218883,2.4413968091611618,1.4841098299781117,Lawnmower Search,,,,
0.8888888888888888,2300.0,4.0,0.0951626262525076,0.0065396922506181,0.0034927735351559,8.898552394645408,3.3865973300388017,10.0,-1.1780082852402145,0.015494784908909,2.4404215067510435,1.484505215091091,Lawnmower Search,,,,
0.7777777777777777,2300.0,4.0,0.0951626262525076,0.0065396922506181,0.0034927735351559,8.898552394645408,3.3865973300388017,10.0,-1.0237920907074278,0.0153475145288073,2.4400583986565114,1.4846524854711929,Lawnmower Search,,,,
1.0,2300.0,4.0,0.092432744368028,0.0077099844014349,0.0038030298407262,9.1224249824754,4.141126222513605,8.0,-1.3191906719640272,0.0030412142772402,2.418496310231615,1.4969587857227598,Lawnmower Search,,,,
0.8888888888888888,2300.0,4.0,0.092432744368028,0.0077099844014349,0.0038030298407262,9.1224249824754,4.141126222513605,8.0,-1.1663877264609277,0.0027134231863135,2.417702155492526,1.4972865768136865,Lawnmower Search,,,,
