Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,Lambda,WeightedObjSum,Flight Time [hr],Thrust to Weight,Runtime [min]
2300.0,1.0,0.122936,0.02178,0.01089,10.235526508493722,3.98778032445584,8.0,0.0,1.1509568078813892,0.19601372167241524,8.707919233085343,13.29344896475474
3600.0,1.0,0.122936,0.02178,0.01089,10.617474133654866,4.161086758948444,11.0,0.1111111111111111,1.115516355132458,0.16183691054160876,9.33549597229459,13.830803728103637
2300.0,1.0,0.122936,0.02178,0.01089,10.119092381597138,3.985193567273483,11.0,0.2222222222222222,0.9599884022991363,0.1872334467493118,9.191607199377417,13.6351442972819
3600.0,1.0,0.122936,0.02178,0.01089,9.192459914262002,3.956121554876147,8.0,0.3333333333333333,0.741433461364053,0.16896120352924116,8.48025426396129,11.214213188489278
2300.0,4.0,0.09162528082749759,0.008804829449210256,0.004190937743991216,9.17661970569164,4.191869169685295,8.0,0.4444444444444444,0.5090313777864036,2.20329939421165,1.5829340725915655,5.079629929860433
2300.0,4.0,0.09164644577493392,0.008648427590092404,0.0034890255274622147,10.048238082291974,4.202364739351329,8.0,0.5555555555555556,0.679140900098238,2.308095651892229,1.571665197518081,6.734083910783132
2300.0,4.0,0.09574865230227521,0.007689699592121806,0.0035793023753864076,9.138031156088207,3.3874893524928256,8.0,0.6666666666666666,0.8357545057751636,2.346442992113494,1.5320455379343272,13.59199080467224
2300.0,4.0,0.0957477733622291,0.0076635295442481,0.0035726461253136,9.136094879007487,3.3860697651545544,8.0,0.7777777777777777,0.9859641369999979,2.353326875406196,1.5326565203689264,1.5857499281565348
2300.0,4.0,0.0957424279237832,0.007676156728294349,0.0035791922024043196,9.136193319440169,3.3860709232521,8.0,0.8888888888888888,1.1324041896101293,2.3512708093606425,1.5343873334581315,5.067124652862549
2300.0,4.0,0.0915981857995975,0.0087926233126116,0.0034400810155790986,9.185989089452894,4.195561661908457,8.0,1.0,1.3133444722113359,2.4085394524710977,1.5022608591053153,1.4892831563949585
