Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,Lambda,WeightedObjSum,Flight Time [hr],Thrust to Weight,Runtime [min]
3800.0,1.0,0.1016,0.018,0.009,10.0,4.0,8.0,0.0,2.586838821,0.243007664,5.576429369,1.628116576
3800.0,1.0,0.103522713,0.018418714,0.008897986,10.0,4.000113899,8.316673086,0.1,2.480601936,0.232222127,5.806633193,11.01969282
3800.0,1.0,0.103522713,0.018418714,0.008897986,10.0,4.000113899,8.316673086,0.147368421,2.379695034,0.232222127,5.806633193,4.127801911
3800.0,1.0,0.103522713,0.018418714,0.008897986,10.0,4.000113899,8.316673086,0.194736842,2.278788131,0.232222127,5.806633193,4.038393037
3800.0,1.0,0.103522713,0.018418714,0.008897986,10.0,4.000113899,8.316673086,0.242105263,2.177881229,0.232222127,5.806633193,4.595390046
3800.0,1.0,0.103522713,0.018418714,0.008897986,10.0,4.000113899,8.316673086,0.289473684,2.076974326,0.232222127,5.806633193,4.041719906
3800.0,1.326654828,0.103459367,0.018,0.009,10.0,3.85104952,8.054412162,0.336842105,1.954496986,0.23554086,5.727699548,3.989019577
3800.0,1.0,0.1016,0.018002216,0.009,10.0,3.999982443,8.0,0.384210526,1.819518822,0.242998271,5.576686086,3.528183357
3800.0,1.0,0.1016,0.018027098,0.009,10.0,4.126057117,7.854281376,0.431578947,1.733082532,0.240872267,5.616147891,3.062383048
3800.0,3.233136099,0.102392936,0.010875199,0.004550798,10.0,3.996910922,8.378743876,0.478947368,1.789924901,0.851785844,3.310630156,3.110081728
3800.0,3.233136099,0.102392936,0.010875199,0.004550798,10.0,3.996910922,8.378743876,0.526315789,1.815061921,0.851785844,3.310630156,3.075827305
3800.0,3.233136099,0.102392936,0.010875199,0.004550798,10.0,3.996910922,8.378743876,0.573684211,1.840198942,0.851785844,3.310630156,3.075955935
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.621052632,1.910711727,0.891730048,3.226397959,3.539204725
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.668421053,1.942289855,0.891730048,3.226397959,3.497007485
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.715789474,1.973867983,0.891730048,3.226397959,3.493400494
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.763157895,2.00544611,0.891730048,3.226397959,3.497074223
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.810526316,2.037024238,0.891730048,3.226397959,3.512829081
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.857894737,2.068602366,0.891730048,3.226397959,3.523325698
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.905263158,2.100180494,0.891730048,3.226397959,3.474668908
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,0.952631579,2.131758621,0.891730048,3.226397959,3.495856015
3800.0,3.233136099,0.102392936,0.010777549,0.004107595,10.0,3.996910922,8.378743876,1.0,2.163336749,0.891730048,3.226397959,3.476232127
