Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,Beta,NBI_t,WeightedObjSum,Flight Time [hr],Thrust to Weight,Runtime [min]
3800.0,1.0,0.11175995468693259,0.008799999742222462,0.004399960245263639,10.999316088002784,3.9886416521621726,8.0,0.0,0.08669733614848424,2.630583519799681,0.28639597824313,5.670729493292005,53.35593389670054
3800.0,1.0,0.10944296999199468,0.008799999494451283,0.004399999743593919,10.999999999999806,4.397587564577206,8.316673086,0.1111111111111111,5.036781590840691e-20,2.3686212308044103,0.29207506736633587,5.553338265602972,49.91429370244344
3800.0,1.0,0.10741561343991038,0.008799999998292604,0.004399999999993649,10.999999999625452,4.395683268294649,8.316673086,0.2222222222222222,2.573138524095208e-12,2.0817774182188606,0.30695379342236145,5.311213104122374,44.1433622956276
3800.0,1.0,0.10740137960456149,0.0088,0.0043999999999818585,10.999885631875191,4.395671936958141,8.0,0.3333333333333333,2.3596479947880725e-11,1.8909045052946027,0.3068712812759544,5.311889522776861,47.61213979323705
3800.0,3.233136099,0.1117599999909993,0.008783191924591118,0.004396648536331947,10.999985895174511,3.9875333536363193,8.378743876,0.4444444444444444,0.0022456818361839847,1.7757989770671245,0.6929730615667785,3.991299940928965,67.22260913451512
3800.0,3.233136099,0.11174616498244079,0.008799999999999898,0.004399999999999943,10.999999999999696,3.9872073437208404,8.378743876,0.5555555555555556,0.0028564086764062448,1.7570804020418584,0.6927494552942881,3.993783864049477,67.2462591012319
3800.0,3.233136099,0.11175995157120734,0.0088,0.004399999999999889,11.0,3.9868904382336634,8.378743876,0.6666666666666666,0.011204162693531547,1.737722670419008,0.6924949726292811,3.994892806777193,64.93854210774104
3800.0,3.233136099,0.11139722862862335,0.008257252319506598,0.00432942894200472,10.217583505956073,3.9869143438730434,8.378743876,0.7777777777777777,0.00923434456055261,1.8035845618653876,0.750232732544723,3.763635440844979,58.755387687683104
3800.0,3.233136099,0.10905667450770838,0.008270460477190704,0.004278532306943116,9.769738531529702,3.9859300834129003,8.378743876,0.8888888888888888,0.027212444132248582,1.9498088656655364,0.8199871344003594,3.5223414916583615,64.28324199120203
3800.0,3.233136099,0.10433793980494813,0.008799999999999052,0.004269267831908532,10.308920124123063,3.995211267880374,8.378743876,1.0,0.02243303203485337,2.166555779970367,0.8930569367558369,3.2633623721846483,60.87392058769862
