Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,Lambda,WeightedObjSum,Flight Time [hr],Thrust to Weight,Runtime [min]
2300.0,1.0,0.10778229490713473,0.01796840700870985,0.0043759403305729,10.057178526520044,4.010082860312732,8.0,0.0,0.7713205197335968,0.29730586879800364,6.432922529282501,10.118721560637157
3600.0,1.0,0.10274312493281702,0.007672825799172752,0.0036899407492208,10.545380592750135,4.189283876783026,11.0,0.1111111111111111,0.664329726746779,0.2778951417413759,6.242713359407228,8.72028124332428
2300.0,1.0,0.10767915018487528,0.0076486540127776,0.0043759403305729,10.057178526520044,4.007596705217208,11.0,0.2222222222222222,0.5689884361399936,0.34257257791908663,6.022894675828623,461.69287089506787
3600.0,1.0,0.10197113615680466,0.007654722968909532,0.0036296996907319743,9.151719049581173,3.9849506108542356,8.0,0.3333333333333333,0.4038471188672625,0.34983904035236174,5.127525668150435,10.767169014612834
2300.0,4.0,0.0915981857995975,0.0087926233126116,0.0041870021307531,9.176571157093804,4.191907352950336,8.0,0.4444444444444444,0.5106190552028168,2.210018948528366,1.5811452530174903,428.12090626955035
2300.0,4.0,0.09163767560063403,0.008635654901541336,0.003489189567293026,10.048203479996015,4.202424166161743,8.0,0.5555555555555556,0.6803474597669236,2.3123533581209883,1.5692073606847814,75.730249273777
2300.0,4.0,0.09574777336222919,0.0076635295442481,0.0035726461253136,9.136094879007487,3.3860697651545544,8.0,0.6666666666666666,0.8384830868762622,2.3533268754061893,1.5326565203689297,11.58177946805954
2300.0,4.0,0.0957477733622291,0.0076635295442481,0.0035726461253136,9.136094879007487,3.3860697651545544,8.0,0.7777777777777777,0.9859641369999979,2.353326875406196,1.5326565203689264,12.469506164391836
2300.0,4.0,0.0957477733622291,0.0076635295442481,0.0035726461253136,9.136094879007487,3.3860697651545544,8.0,0.8888888888888888,1.1334451871237314,2.353326875406196,1.5326565203689264,12.397263288497925
2300.0,4.0,0.0915981857995975,0.0087926233126116,0.0034400810155790986,9.185989089452894,4.195561661908457,8.0,1.0,1.3133444722113359,2.4085394524710977,1.5022608591053153,10.424783023198446
