Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight
0.1,3800.0,1.0,0.11174952029396064,0.019799999990256542,0.009899999983405558,9.797699980356715,4.187193157013976,8.31667308634835,-2.950320246438702,-5.455771291763861,0.190812577482159,6.955771291763861
0.1,3800.0,1.0,0.11174953519512183,0.019799999990256542,0.009899999983405558,9.797699980356715,4.187193157013976,8.31667308634835,-2.950320851340095,-5.455772767566369,0.190812531130092,6.955772767566369
0.1,3800.0,1.0,0.11174952029396064,0.01979998508909535,0.009899999983405558,9.797699980356715,4.187193157013976,8.31667308634835,-2.9503195262258552,-5.455769548683774,0.1908126084868578,6.955769548683774
0.1,3800.0,1.0,0.11174952029396064,0.019799999990256542,0.009899985082244364,9.797699980356715,4.187193157013976,8.31667308634835,-2.950318983327926,-5.455768226506654,0.19081264603836096,6.955768226506654
0.1,3800.0,1.0,0.11174952029396064,0.019799999990256542,0.009899999983405558,9.797699995257876,4.187193157013976,8.31667308634835,-2.950320253266377,-5.455771308198116,0.19081257734360682,6.955771308198116
0.1,3800.0,1.0,0.11174952029396064,0.019799999990256542,0.009899999983405558,9.797699980356715,4.187193171915137,8.31667308634835,-2.9503202574617466,-5.455771318311266,0.19081257723287856,6.955771318311266
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.0099,9.584881328932573,4.399999999855706,8.31667308634835,-2.9678201714507644,-5.498259772359729,0.1898274878676083,6.998259772359729
0.1,3800.0,1.0,0.11173636897055424,0.01979999999756203,0.0099,9.584881328932573,4.399999999855706,8.31667308634835,-2.9695265247724145,-5.502445738660586,0.1896573132143702,7.002445738660586
0.1,3800.0,1.0,0.11173635406939304,0.019799985096400838,0.0099,9.584881328932573,4.399999999855706,8.31667308634835,-2.969691479770915,-5.502850425592914,0.18964081905649618,7.002850425592914
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.009899985098838807,9.584881328932573,4.399999999855706,8.31667308634835,-2.9696909100674644,-5.5028490389747375,0.1896408570143075,7.0028490389747375
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.0099,9.584881343833734,4.399999999855706,8.31667308634835,-2.969692200199418,-5.502852168798997,0.1896407887239083,7.002852168798997
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.0099,9.584881328932573,4.399999984954545,8.31667308634835,-2.9696921827104426,-5.502852126691334,0.1896407890987685,7.002852126691334
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.0099,9.584881328932573,4.399999999855706,8.31667308634835,-2.96969219340311,-5.502852152441919,0.18964078885893992,7.002852152441919
0.1,3800.0,1.0,0.11173636897055424,0.01979999999756203,0.0099,9.584881328932573,4.399999999855706,8.31667308634835,-2.9696927999272225,-5.502853631794706,0.18964074308593495,7.002853631794706
0.1,3800.0,1.0,0.11173635406939304,0.019799985096400838,0.0099,9.584881328932573,4.399999999855706,8.31667308634835,-2.969691478835975,-5.502850423299398,0.1896408191496607,7.002850423299398
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.009899985098838807,9.584881328932573,4.399999999855706,8.31667308634835,-2.9696909100674644,-5.5028490389747375,0.1896408570143075,7.0028490389747375
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.0099,9.584881343833734,4.399999999855706,8.31667308634835,-2.969692200199418,-5.502852168798997,0.1896407887239083,7.002852168798997
0.1,3800.0,1.0,0.11173635406939304,0.01979999999756203,0.0099,9.584881328932573,4.399999984954545,8.31667308634835,-2.9696921827104426,-5.502852126691334,0.1896407890987685,7.002852126691334
0.1,3800.0,1.0,0.11175999999979194,0.019799999999983248,0.0099,9.797699664730263,4.187202866881151,8.31667308634835,-2.9488544805908252,-5.452168066471932,0.19097159613300155,6.952168066471932
0.1,3800.0,1.0,0.1117481770303991,0.01979999999877264,0.0099,9.691290459090036,4.29360147110605,8.31667308634835,-2.9500680685512117,-5.455571348851799,0.19011718628746746,6.955571348851799
0.1,3800.0,1.0,0.11174226554597101,0.019799999998167336,0.0099,9.638085858684953,4.346800770803711,8.31667308634835,-2.949222313951485,-5.453503689909637,0.1901892860760391,6.953503689909637
0.1,3800.0,1.0,0.11173930980356997,0.019799999997864682,0.0099,9.611483556799401,4.373400422335383,8.31667308634835,-2.957413911446214,-5.473300751930497,0.18988565637585003,6.973300751930497
0.1,3800.0,1.0,0.11173783193418065,0.01979999999771336,0.0099,9.598182422157743,4.386700231801725,8.31667308634835,-2.960860982204555,-5.481609645835134,0.18979544199093307,6.981609645835134
