Lambda,Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,WeightedObj,ConstraintG,Flight Time [hr],Thrust to Weight
0,3800,1,0.1016,0.018000015,0.009,10,4,8,-2.586839915,-4.076431728,0.243007568,5.576431728
0,3800,1,0.1016,0.018,0.009000015,10,4,8,-2.584820222,-4.072077889,0.243292461,5.572077889
0,3800,1,0.1016,0.018,0.009,10.00000001,4,8,-2.586838829,-4.076429385,0.243007664,5.576429385
0,3800,1,0.1016,0.018,0.009,10,4.000000015,8,-2.584818265,-4.072073672,0.24329266,5.572073672
0,3800,1,0.1016,0.018,0.009,10,4,8,-2.586838821,-4.076429369,0.243007664,5.576429369
0,3800,1,0.09144,0.0198,0.0036,10.51954705,3.6,8,-1.860865395,-2.511453808,0.37816467,4.011453808
0,3800,1,0.096520065,0.018899988,0.006300035,10.25977018,3.800002577,8,-2.220537857,-3.286797082,0.29705856,4.786797082
0,3800,1,0.099060066,0.018449988,0.007650035,10.1298834,3.900002588,8,-2.40608329,-3.686776004,0.267892343,5.186776004
0,3800,1,0.100330049,0.018224991,0.008325026,10.06494087,3.950001936,8,-2.483201722,-3.853019638,0.2550761,5.353019638
0,3800,1,0.100965034,0.018112494,0.008662518,10.03246996,3.975001336,8,-2.54317238,-3.982297943,0.248677538,5.482297943
0,3800,1,0.101282521,0.018056246,0.008831261,10.01623478,3.987500823,8,-2.555073994,-4.007954165,0.246033387,5.507954165
0,3800,1,0.101441263,0.018028123,0.008915632,10.00811724,3.993750524,8,-2.571976676,-4.044391153,0.244488281,5.544391153
0,3800,1,0.101520633,0.018014061,0.008957817,10.00405855,3.996875315,8,-2.579404602,-4.060403478,0.243745686,5.560403478
0,3800,1,0.101560317,0.01800703,0.008978909,10.00202924,3.998437684,8,-2.58290504,-4.067949345,0.243406621,5.567949345
0,3800,1,0.101580159,0.018003515,0.008989455,10.0010146,3.999218856,8,-2.583646674,-4.06954808,0.243379977,5.56954808
0,3800,1,0.10159008,0.018001758,0.008994727,10.00050729,3.999609439,8,-2.587046983,-4.076878101,0.242939315,5.576878101
0,3800,1,0.101590095,0.018001758,0.008994727,10.00050729,3.999609439,8,-2.585027998,-4.07252579,0.243224005,5.57252579
0,3800,1,0.10159008,0.018001772,0.008994727,10.00050729,3.999609439,8,-2.587048077,-4.076880461,0.242939219,5.576880461
0,3800,1,0.10159008,0.018001758,0.008994742,10.00050729,3.999609439,8,-2.585028842,-4.07252761,0.243223944,5.57252761
0,3800,1,0.10159008,0.018001758,0.008994727,10.0005073,3.999609439,8,-2.58704699,-4.076878118,0.242939314,5.576878118
0,3800,1,0.10159008,0.018001758,0.008994727,10.00050729,3.999609454,8,-2.585026885,-4.072523392,0.243224143,5.572523392
0,3800,1,0.10159008,0.018001758,0.008994727,10.00050729,3.999609439,8,-2.587046983,-4.076878101,0.242939315,5.576878101
0,3800,1,0.101590095,0.018001758,0.008994727,10.00050729,3.999609439,8,-2.585027998,-4.07252579,0.243224005,5.57252579
0,3800,1,0.10159008,0.018001772,0.008994727,10.00050729,3.999609439,8,-2.587048077,-4.076880461,0.242939219,5.576880461
0,3800,1,0.10159008,0.018001758,0.008994742,10.00050729,3.999609439,8,-2.585028842,-4.07252761,0.243223944,5.57252761
0,3800,1,0.10159008,0.018001758,0.008994727,10.0005073,3.999609439,8,-2.58704699,-4.076878118,0.242939314,5.576878118
0,3800,1,0.10159008,0.018001758,0.008994727,10.00050729,3.999609454,8,-2.585026885,-4.072523392,0.243224143,5.572523392
0,3800,1,0.09144,0.019797205,0.0036,10.99999317,3.600005321,8,-1.931569975,-2.66387115,0.367777352,4.16387115
0,3800,1,0.096515099,0.018899471,0.006297395,10.50024441,3.799809707,8,-2.259875061,-3.371596002,0.293653891,4.871596002
0,3800,1,0.099052619,0.018450609,0.007646077,10.25037294,3.899710735,8,-2.426778987,-3.731389566,0.266466362,5.231389566
0,3800,1,0.100321364,0.018226181,0.00832041,10.12543869,3.949660656,8,-2.487686804,-3.862688096,0.254593864,5.362688096
0,3800,1,0.100955731,0.018113968,0.008657573,10.06297211,3.9746354,8,-2.545220538,-3.986713143,0.248524259,5.486713143
0,3800,1,0.101272909,0.018057862,0.008826152,10.03173933,3.987122568,8,-2.560758189,-4.020207543,0.245885232,5.520207543
0,3800,1,0.101431497,0.018029809,0.008910441,10.01612307,3.993366097,8,-2.57230575,-4.045100536,0.244506793,5.545100536
0,3800,1,0.10151079,0.018015783,0.008952585,10.00831505,3.996487821,8,-2.580139395,-4.061987465,0.243778626,5.561987465
0,3800,1,0.101550435,0.01800877,0.008973657,10.00441111,3.998048654,8,-2.582663543,-4.067428754,0.243489691,5.567428754
0,3800,1,0.101570258,0.018005264,0.008984192,10.00245916,3.998829062,8,-2.582916389,-4.067973811,0.243488122,5.567973811
0,3800,1,0.101580169,0.018003511,0.00898946,10.00148319,3.999219265,8,-2.586070972,-4.074774123,0.243059797,5.574774123
0,3800,1,0.101580184,0.018003511,0.00898946,10.00148319,3.999219265,8,-2.584052812,-4.070423589,0.24334462,5.570423589
0,3800,1,0.101580169,0.018003526,0.00898946,10.00148319,3.999219265,8,-2.586072067,-4.074776483,0.243059701,5.574776483
0,3800,1,0.101580169,0.018003511,0.008989475,10.00148319,3.999219265,8,-2.584053656,-4.070425409,0.243344558,5.570425409
0,3800,1,0.101580169,0.018003511,0.00898946,10.0014832,3.999219265,8,-2.58607098,-4.07477414,0.243059797,5.57477414
0,3800,1,0.101580169,0.018003511,0.00898946,10.00148319,3.99921928,8,-2.584051699,-4.070421191,0.243344758,5.570421191
0,3800,1,0.101580169,0.018003511,0.00898946,10.00148319,3.999219265,8,-2.586070972,-4.074774123,0.243059797,5.574774123
0,3800,1,0.101580184,0.018003511,0.00898946,10.00148319,3.999219265,8,-2.584052812,-4.070423589,0.24334462,5.570423589
0,3800,1,0.101580169,0.018003526,0.00898946,10.00148319,3.999219265,8,-2.586072067,-4.074776483,0.243059701,5.574776483
0,3800,1,0.101580169,0.018003511,0.008989475,10.00148319,3.999219265,8,-2.584053656,-4.070425409,0.243344558,5.570425409
0,3800,1,0.101580169,0.018003511,0.00898946,10.0014832,3.999219265,8,-2.58607098,-4.07477414,0.243059797,5.57477414
0,3800,1,0.101580169,0.018003511,0.00898946,10.00148319,3.99921928,8,-2.584051699,-4.070421191,0.243344758,5.570421191
0,3800,1,0.091440012,0.0198,0.003600037,11,3.6,8,-1.931737839,-2.664233014,0.367749118,4.164233014
0,3800,1,0.09651015,0.018901745,0.00629478,10.50073578,3.799611957,8,-2.259583746,-3.370968017,0.293705519,4.870968017
0,3800,1,0.099045189,0.018452623,0.007642136,10.25110658,3.899416771,8,-2.426262895,-3.73027703,0.266538927,5.23027703
0,3800,1,0.100312693,0.018228064,0.008315805,10.12629346,3.949318586,8,-2.48707307,-3.861365075,0.254673495,5.361365075
0,3800,1,0.10094644,0.018115786,0.008652637,10.06388745,3.974269277,8,-2.544548785,-3.985265051,0.24860647,5.485265051
0,3800,1,0.101263308,0.018059647,0.008821051,10.03268495,3.986744419,8,-2.560063917,-4.018710906,0.245968842,5.518710906
0,3800,1,0.101421741,0.018031579,0.008905257,10.01708384,3.992981935,8,-2.571597911,-4.043574651,0.244590956,5.543574651
0,3800,1,0.101500957,0.018017544,0.008947359,10.00928338,3.996100651,8,-2.579424964,-4.060447372,0.243863015,5.560447372
0,3800,1,0.101540563,0.018010527,0.00896841,10.00538322,3.997659982,8,-2.581943802,-4.065877213,0.243574523,5.565877213
0,3800,1,0.101560367,0.018007019,0.008978935,10.00343317,3.998439638,8,-2.582194354,-4.066417325,0.243573213,5.566417325
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245814,3.998829466,8,-2.585346702,-4.073212819,0.243144901,5.573212819
0,3800,1,0.101570283,0.018005265,0.008984198,10.00245814,3.998829466,8,-2.583329267,-4.068863849,0.243429801,5.568863849
0,3800,1,0.101570268,0.01800528,0.008984198,10.00245814,3.998829466,8,-2.585347797,-4.073215179,0.243144805,5.573215179
0,3800,1,0.101570268,0.018005265,0.008984213,10.00245814,3.998829466,8,-2.583330111,-4.068865669,0.24342974,5.568865669
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245816,3.998829466,8,-2.58534671,-4.073212836,0.243144901,5.573212836
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245814,3.998829481,8,-2.583328155,-4.068861452,0.243429939,5.568861452
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245814,3.998829466,8,-2.585346702,-4.073212819,0.243144901,5.573212819
0,3800,1,0.101570283,0.018005265,0.008984198,10.00245814,3.998829466,8,-2.583329267,-4.068863849,0.243429801,5.568863849
0,3800,1,0.101570268,0.01800528,0.008984198,10.00245814,3.998829466,8,-2.585347797,-4.073215179,0.243144805,5.573215179
0,3800,1,0.101570268,0.018005265,0.008984213,10.00245814,3.998829466,8,-2.583330111,-4.068865669,0.24342974,5.568865669
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245816,3.998829466,8,-2.58534671,-4.073212836,0.243144901,5.573212836
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245814,3.998829481,8,-2.583328155,-4.068861452,0.243429939,5.568861452
0,3800,1,0.101570268,0.018005265,0.008984198,10.00245814,3.998829466,8,-2.585346702,-4.073212819,0.243144901,5.573212819
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480601936,-4.306633193,0.232222127,5.806633193
0.1,3800,1,0.103522728,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480602566,-4.306634744,0.232222053,5.806634744
0.1,3800,1,0.103522713,0.018418728,0.008897986,10,4.000113899,8.316673086,-2.480602668,-4.306634977,0.232222075,5.806634977
0.1,3800,1,0.103522713,0.018418714,0.008898001,10,4.000113899,8.316673086,-2.480603181,-4.306636237,0.232222019,5.806636237
0.1,3800,1,0.103522713,0.018418714,0.008897986,10.00000001,4.000113899,8.316673086,-2.480601942,-4.306633207,0.232222127,5.806633207
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113914,8.316673086,-2.480601946,-4.306633216,0.232222127,5.806633216
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480601936,-4.306633193,0.232222127,5.806633193
0.1,3800,1,0.103522728,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480602566,-4.306634744,0.232222053,5.806634744
0.1,3800,1,0.103522713,0.018418728,0.008897986,10,4.000113899,8.316673086,-2.480602668,-4.306634977,0.232222075,5.806634977
0.1,3800,1,0.103522713,0.018418714,0.008898001,10,4.000113899,8.316673086,-2.480603181,-4.306636237,0.232222019,5.806636237
0.1,3800,1,0.103522713,0.018418714,0.008897986,10.00000001,4.000113899,8.316673086,-2.480601942,-4.306633207,0.232222127,5.806633207
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113914,8.316673086,-2.480601946,-4.306633216,0.232222127,5.806633216
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480601936,-4.306633193,0.232222127,5.806633193
0.1,3800,1,0.11176,0.0198,0.0099,10.40818882,4.4,8.316673086,-3.044889014,-5.68528476,0.185647995,7.18528476
0.1,3800,1,0.111759985,0.0198,0.0099,10.40818882,4.4,8.316673086,-3.044888405,-5.685283276,0.185648039,7.185283276
0.1,3800,1,0.11176,0.019799985,0.0099,10.40818882,4.4,8.316673086,-3.044888279,-5.685282982,0.185648024,7.185282982
0.1,3800,1,0.11176,0.0198,0.009899985,10.40818882,4.4,8.316673086,-3.044887738,-5.685281667,0.185648059,7.185281667
0.1,3800,1,0.11176,0.0198,0.0099,10.40818883,4.4,8.316673086,-3.04488902,-5.685284775,0.185647995,7.185284775
0.1,3800,1,0.11176,0.0198,0.0099,10.40818882,4.399999985,8.316673086,-3.044889004,-5.685284736,0.185647995,7.185284736
0.1,3800,1,0.11176,0.0198,0.0099,10.40818882,4.4,8.316673086,-3.044889014,-5.68528476,0.185647995,7.18528476
0.1,3800,1,0.103522713,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480601936,-4.306633193,0.232222127,5.806633193
0.1,3800,1,0.103522728,0.018418714,0.008897986,10,4.000113899,8.316673086,-2.480478445,-4.30632671,0.232240533,5.80632671
