Motor,Battery,Diameter,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Airfoil,Beta,NBI_t,WeightedObjSum,Flight Time [hr],Thrust to Weight,Runtime [min]
3800.0,1.0,0.1117599546869325,0.0087999997422224,0.0043999602452636,10.999316088002784,3.9886416521621726,8.0,0.0,0.0866973361484842,2.630583519799681,0.28639597824313,5.670729493292005,53.35593389670054
3800.0,1.0,0.1094429699919946,0.0087999994944512,0.0043999997435939,10.999999999999806,4.397587564577206,8.316673086,0.1111111111111111,5.036781590840691e-20,2.3686212308044103,0.2920750673663358,5.553338265602972,49.91429370244344
3800.0,1.0,0.1074156134399103,0.0087999999982926,0.0043999999999936,10.999999999625452,4.395683268294649,8.316673086,0.2222222222222222,2.573138524095208e-12,2.0817774182188606,0.3069537934223614,5.311213104122374,44.1433622956276
3800.0,1.0,0.1074013796045614,0.0088,0.0043999999999818,10.999885631875191,4.395671936958141,8.0,0.3333333333333333,2.3596479947880725e-11,1.8909045052946027,0.3068712812759544,5.311889522776861,47.61213979323705
3800.0,3.233136099,0.1117599999909993,0.0087831919245911,0.0043966485363319,10.999985895174513,3.9875333536363193,8.378743876,0.4444444444444444,0.0022456818361839,1.7757989770671243,0.6929730615667785,3.991299940928965,67.22260913451512
3800.0,3.233136099,0.1117461649824407,0.0087999999999998,0.0043999999999999,10.999999999999696,3.98720734372084,8.378743876,0.5555555555555556,0.0028564086764062,1.7570804020418584,0.6927494552942881,3.993783864049477,67.2462591012319
3800.0,3.233136099,0.1117599515712073,0.0088,0.0043999999999998,11.0,3.986890438233664,8.378743876,0.6666666666666666,0.0112041626935315,1.737722670419008,0.6924949726292811,3.994892806777193,64.93854210774104
3800.0,3.233136099,0.1113972286286233,0.0082572523195065,0.0043294289420047,10.217583505956071,3.986914343873043,8.378743876,0.7777777777777777,0.0092343445605526,1.803584561865388,0.750232732544723,3.763635440844979,58.755387687683104
3800.0,3.233136099,0.1090566745077083,0.0082704604771907,0.0042785323069431,9.769738531529702,3.9859300834129,8.378743876,0.8888888888888888,0.0272124441322485,1.9498088656655364,0.8199871344003594,3.522341491658361,64.28324199120203
3800.0,3.233136099,0.1043379398049481,0.008799999999999,0.0042692678319085,10.308920124123064,3.995211267880374,8.378743876,1.0,0.0224330320348533,2.166555779970367,0.8930569367558369,3.2633623721846483,60.87392058769862
