Alpha,Cl,Cd
0.0,0.1668,0.01304
1.0,0.3814,0.0115
2.0,0.4952,0.01039
3.0,0.5332,0.01415
4.0,0.6327,0.01507
5.0,0.7306,0.01639
6.0,0.8171,0.01904
7.0,0.8984,0.02721
8.0,0.9254,0.0412
9.0,0.87,0.05515
10.0,0.7785,0.0698
11.0,0.6976,0.09843
12.0,0.6679,0.13265
13.0,0.6831,0.13852
14.0,0.6989,0.15197
15.0,0.7255,0.16609
16.0,0.7684,0.18241
