Alpha,Cl,Cd
-10.0,-0.3952,0.10781
-9.0,-0.3854,0.09726
-8.0,-0.3823,0.08661
-7.0,-0.3941,0.07695
-5.0,-0.3982,0.06982
-4.0,-0.4156,0.04669
-3.0,-0.3685,0.03734
-2.0,-0.1967,0.01929
-1.0,-0.0201,0.01572
1.0,0.3533,0.01109
2.0,0.4436,0.0097
3.0,0.51,0.01394
4.0,0.6097,0.01534
5.0,0.7011,0.01914
7.0,0.8108,0.04894
10.0,0.6354,0.11471
11.0,0.6393,0.13293
12.0,0.6515,0.14907
13.0,0.6707,0.15692
14.0,0.6832,0.15834
15.0,0.7187,0.17085
