Alpha,Cl,Cd
-4.0,-0.4068,0.03114
-3.0,-0.311,0.02365
-2.0,-0.2505,0.02148
-1.0,-0.138,0.02223
0.0,-0.0323,0.02487
1.0,0.135,0.02805
2.0,0.2983,0.03167
3.0,0.4689,0.03355
4.0,0.5555,0.03576
5.0,0.6776,0.03613
6.0,0.7824,0.03794
8.0,0.9671,0.03569
9.0,1.0155,0.04702
10.0,0.9658,0.06314
