Alpha,Cl,Cd
-17.0,-0.4726,0.23697
-16.0,-0.4489,0.22916
-15.0,-0.4265,0.21991
-14.0,-0.3703,0.16403
-13.0,-0.3371,0.15114
-12.0,-0.3117,0.14095
-11.0,-0.2905,0.13119
-10.0,-0.276,0.12292
-9.0,-0.2831,0.12424
-8.0,-0.2917,0.12306
