Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s],1.5,
SD7062_DOE,3800,0.0762,2,0.008,0.004,6,1,1.3076,2.242679148,0.488384845,12.80181789,0,
SD7062_DOE,3800,0.0762,2,0.018,0.009,10,4,1.3076,1.045333605,1.253685973,12.87538624,0,
SD7062_DOE,3800,0.0762,2,0.018,0.009,6,1,1.3076,1.916155988,0.794779143,12.87231421,0,
SD7062_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.308678364,1.833010263,19.27084804,0.308678364,
SD7062_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.464229328,1.180031177,16.9449873,0,
SD7062_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.216870653,2.448458829,19.42812586,0.216870653,
SD7062_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.296800118,1.695878787,19.27994537,0.296800118,
SD7062_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.534051275,1.810542377,17.03204036,0.534051275,
SD7062_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,0.846343372,1.125587103,17.23128486,0,
SD7062_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.349262039,2.536806735,19.34180307,0.349262039,
SD7062_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.510214438,1.682276324,17.05430865,0.510214438,
