Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch,Mass [kg],Flight Time [hr],Thrust to Weight,Sim Time [s],1.5,
NACA2412_DOE,2300,0.0762,2,0.008,0.004,10,4,1.5764,1.894759741,0.849249556,12.96471691,0,
NACA2412_DOE,2300,0.0762,2,0.008,0.004,6,1,1.5764,3.638169042,0.414249527,12.91746783,0,
NACA2412_DOE,2300,0.0762,2,0.018,0.009,10,4,1.5764,1.040423692,1.200327317,12.83555698,0,
NACA2412_DOE,2300,0.0762,2,0.018,0.009,6,1,1.5764,2.061909413,0.491656102,12.9387064,0,
NACA2412_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.423650968,2.099937499,17.07734513,0.423650968,
NACA2412_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.699091053,1.146152721,16.99244308,0,
NACA2412_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.266733126,2.767383207,19.29784942,0.266733126,
NACA2412_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.431547478,1.336717371,17.13579798,0,
NACA2412_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.764468222,1.863811363,16.98099494,0.764468222,
NACA2412_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.315178646,0.989399217,17.23702288,0,
NACA2412_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.448497205,2.574604476,19.00104451,0.448497205,
NACA2412_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.780356802,1.184748706,16.90248799,0,
NACA2412_DOE,3600,0.0762,1,0.008,0.004,10,4,1.2164,0.625769317,1.10739977,12.74656248,0,
NACA2412_DOE,3600,0.0762,1,0.008,0.004,6,1,1.2164,1.137051157,0.560410734,12.82363224,0,
NACA2412_DOE,3600,0.0762,1,0.018,0.009,10,4,1.2164,0.375283369,1.47585201,13.49695206,0,
NACA2412_DOE,3600,0.0762,1,0.018,0.009,6,1,1.2164,0.674763963,0.645033712,12.87934017,0,
NACA2412_DOE,3600,0.0762,2,0.008,0.004,10,4,1.3964,1.168609107,1.009766589,12.78195405,0,
NACA2412_DOE,3600,0.0762,2,0.008,0.004,6,1,1.3964,2.191488551,0.500364949,12.83729482,0,
NACA2412_DOE,3600,0.0762,2,0.018,0.009,10,4,1.3964,0.667623268,1.38999941,12.87017894,0,
NACA2412_DOE,3600,0.0762,2,0.018,0.009,6,1,1.3964,1.266667667,0.586131567,13.1281333,0,
NACA2412_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.294864878,2.191469314,19.29377151,0.294864878,
NACA2412_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.456049829,1.248903957,16.96683502,0,
NACA2412_DOE,3600,0.1016,1,0.018,0.009,10,4,1.2164,0.204460049,2.708032579,19.42436242,0.204460049,
NACA2412_DOE,3600,0.1016,1,0.018,0.009,6,1,1.2164,0.299487828,1.397691909,19.29236388,0,
NACA2412_DOE,3600,0.1016,2,0.008,0.004,10,4,1.3964,0.505403609,2.115818617,17.22882843,0.505403609,
NACA2412_DOE,3600,0.1016,2,0.008,0.004,6,1,1.3964,0.828667958,1.1597653,17.07381248,0,
NACA2412_DOE,3600,0.1016,2,0.018,0.009,10,4,1.3964,0.321687716,2.768150993,24.78844953,0.321687716,
NACA2412_DOE,3600,0.1016,2,0.018,0.009,6,1,1.3964,0.514672928,1.347089921,23.04681659,0,
NACA2412_DOE,3800,0.0762,1,0.008,0.004,10,4,1.1726,0.863662984,0.764982967,16.41161585,0,
NACA2412_DOE,3800,0.0762,1,0.008,0.004,6,1,1.1726,1.636541315,0.376451614,16.78568435,0,
NACA2412_DOE,3800,0.0762,1,0.018,0.009,10,4,1.1726,0.484308113,1.066191522,16.76011395,0,
NACA2412_DOE,3800,0.0762,1,0.018,0.009,6,1,1.1726,0.937738047,0.443537154,17.1946559,0,
NACA2412_DOE,3800,0.0762,2,0.008,0.004,10,4,1.3076,1.644063408,0.708974425,18.19648504,0,
NACA2412_DOE,3800,0.0762,2,0.008,0.004,6,1,1.3076,3.190257862,0.343403667,19.05835223,0,
NACA2412_DOE,3800,0.0762,2,0.018,0.009,10,4,1.3076,0.886486022,1.014293014,18.49348903,0,
NACA2412_DOE,3800,0.0762,2,0.018,0.009,6,1,1.3076,1.792297866,0.409957856,18.81127763,0,
NACA2412_DOE,3800,0.1016,1,0.008,0.004,10,4,1.1726,0.361930562,1.636946995,26.4486587,0.361930562,
NACA2412_DOE,3800,0.1016,1,0.008,0.004,6,1,1.1726,0.605894237,0.884925526,23.03452253,0,
NACA2412_DOE,3800,0.1016,1,0.018,0.009,10,4,1.1726,0.222407431,2.192438197,25.15273404,0.222407431,
NACA2412_DOE,3800,0.1016,1,0.018,0.009,6,1,1.1726,0.368977068,1.041434631,25.53015733,0,
NACA2412_DOE,3800,0.1016,2,0.008,0.004,10,4,1.3076,0.640726057,1.592324239,23.40815926,0.640726057,
NACA2412_DOE,3800,0.1016,2,0.008,0.004,6,1,1.3076,1.130101385,0.831357797,22.4769249,0,
NACA2412_DOE,3800,0.1016,2,0.018,0.009,10,4,1.3076,0.360466147,2.261928509,25.8452456,0.360466147,
NACA2412_DOE,3800,0.1016,2,0.018,0.009,6,1,1.3076,0.654786745,1.011408628,23.157583,0,
RG-15_8_DOE,2300,0.0762,1,0.008,0.004,10,4,1.3064,1.048275429,0.967393504,16.1266458,0,
RG-15_8_DOE,2300,0.0762,1,0.008,0.004,6,1,1.3064,2.161288054,0.375499693,17.75530386,0,
RG-15_8_DOE,2300,0.0762,1,0.018,0.009,10,4,1.3064,0.638891052,1.213797256,16.19757318,0,
RG-15_8_DOE,2300,0.0762,1,0.018,0.009,6,1,1.3064,1.158683204,0.413832767,16.41014051,0,
RG-15_8_DOE,2300,0.0762,2,0.008,0.004,10,4,1.5764,2.013834356,0.823507104,17.20025229,0,
RG-15_8_DOE,2300,0.0762,2,0.008,0.004,6,1,1.5764,4.24001935,0.315211852,16.99107909,0,
RG-15_8_DOE,2300,0.0762,2,0.018,0.009,10,4,1.5764,1.194667778,1.052032115,17.97152281,0,
RG-15_8_DOE,2300,0.0762,2,0.018,0.009,6,1,1.5764,2.23468866,0.351360612,19.73603606,0,
RG-15_8_DOE,2300,0.1016,1,0.008,0.004,10,4,1.3064,0.443990119,2.074367481,30.41047931,0.443990119,
RG-15_8_DOE,2300,0.1016,1,0.008,0.004,6,1,1.3064,0.806439504,0.890896481,25.15904975,0,
RG-15_8_DOE,2300,0.1016,1,0.018,0.009,10,4,1.3064,0.288799767,2.53735377,24.92365694,0.288799767,
RG-15_8_DOE,2300,0.1016,1,0.018,0.009,6,1,1.3064,0.464358471,1.006215607,21.95995903,0,
RG-15_8_DOE,2300,0.1016,2,0.008,0.004,10,4,1.5764,0.805382359,1.83469087,23.14350772,0.805382359,
RG-15_8_DOE,2300,0.1016,2,0.008,0.004,6,1,1.5764,1.530008495,0.764731455,21.87999535,0,
RG-15_8_DOE,2300,0.1016,2,0.018,0.009,10,4,1.5764,0.493116015,2.336554523,17.77489185,0.493116015,
RG-15_8_DOE,2300,0.1016,2,0.018,0.009,6,1,1.5764,0.846325541,0.887152081,17.87437868,0,
RG-15_8_DOE,3600,0.0762,1,0.008,0.004,10,4,1.2164,0.66067111,1.078620858,12.71564794,0,
RG-15_8_DOE,3600,0.0762,1,0.008,0.004,6,1,1.2164,1.313602876,0.428924529,12.9141469,0,
RG-15_8_DOE,3600,0.0762,1,0.018,0.009,10,4,1.2164,0.420219715,1.315382299,12.91849899,0,
RG-15_8_DOE,3600,0.0762,1,0.018,0.009,6,1,1.2164,0.725419111,0.463462153,12.77250624,0,
RG-15_8_DOE,3600,0.0762,2,0.008,0.004,10,4,1.3964,1.238463886,0.981047485,12.86656547,0,
RG-15_8_DOE,3600,0.0762,2,0.008,0.004,6,1,1.3964,2.544621706,0.38167586,13.00175238,0,
RG-15_8_DOE,3600,0.0762,2,0.018,0.009,10,4,1.3964,0.758015586,1.227450783,12.93508983,0,
RG-15_8_DOE,3600,0.0762,2,0.018,0.009,6,1,1.3964,1.368033163,0.419851544,13.05394888,0,
RG-15_8_DOE,3600,0.1016,1,0.008,0.004,10,4,1.2164,0.306773792,2.175344194,17.08040047,0.306773792,
RG-15_8_DOE,3600,0.1016,1,0.008,0.004,6,1,1.2164,0.518913103,0.97968006,17.20183945,0,
