Alpha,Cl,Cd
-5.0,-0.3895,0.08694
-3.0,-0.2629,0.05292
-2.0,-0.1453,0.04022
-1.0,-0.032,0.03145
0.0,0.112,0.02961
1.0,0.2072,0.03309
2.0,0.2767,0.03638
3.0,0.3819,0.04134
4.0,0.4443,0.04572
5.0,0.5306,0.05033
6.0,0.5951,0.05642
7.0,0.7161,0.06056
8.0,0.8295,0.06048
9.0,1.0887,0.03331
10.0,1.1,0.0498
