NACA2412
1.000084 0.001257
0.993326 0.002660
0.973226 0.006754
0.940300 0.013212
0.895402 0.021539
0.839705 0.031136
0.774682 0.041348
0.702069 0.051508
0.623825 0.060953
0.542077 0.069040
0.459071 0.075159
0.376923 0.078730
0.297640 0.078727
0.223984 0.074840
0.158111 0.067326
0.101925 0.056744
0.057010 0.043880
0.024574 0.029622
0.005432 0.014793
0.000000 0.000000
0.008207 -0.013441
0.029609 -0.024387
0.063517 -0.032735
0.108934 -0.038437
0.164607 -0.041564
0.229067 -0.042364
0.300665 -0.041269
0.377592 -0.038860
0.458349 -0.035542
0.540502 -0.031258
0.621661 -0.026466
0.699626 -0.021564
0.772267 -0.016846
0.837577 -0.012515
0.893739 -0.008717
0.939173 -0.005580
0.972591 -0.003223
0.993035 -0.001756
0.999916 -0.001257
