NACA0580
1.000000 0.008400
0.993181 0.014752
0.972909 0.033324
0.939737 0.062751
0.894570 0.101008
0.838641 0.145676
0.773474 0.194150
0.700848 0.243710
0.622743 0.291486
0.541290 0.334369
0.458710 0.369008
0.377257 0.391973
0.299152 0.400114
0.226526 0.391048
0.161359 0.363613
0.105430 0.318126
0.060263 0.256302
0.027091 0.180809
0.006819 0.094569
0.000000 0.000000
0.006819 -0.094569
0.027091 -0.180809
0.060263 -0.256302
0.105430 -0.318126
0.161359 -0.363613
0.226526 -0.391048
0.299152 -0.400114
0.377257 -0.391973
0.458710 -0.369008
0.541290 -0.334369
0.622743 -0.291486
0.700848 -0.243710
0.773474 -0.194150
0.838641 -0.145676
0.894570 -0.101008
0.939737 -0.062751
0.972909 -0.033324
0.993181 -0.014752
1.000000 -0.008400
